date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:52:01	65/65	---M--	200	added ('OK')	text/plain	etag:%225a78a5c6-41%22	http://html.lionode.com/robots.txt		(from )
13:52:01	43196/43196	---M-Z	200	added ('OK')	text/html	etag:%22a3a3-55acb4d391200-gzip%22	http://html.lionode.com/korslook/	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/index.html	(from )
13:52:03	45756/45756	---MCZ	200	added ('OK')	text/css	etag:W/%22598f42d8-b2bc%22	http://html.lionode.com/korslook/css/style.css	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/css/style.css	(from http://html.lionode.com/korslook/)
13:52:03	32318/32318	---MCZ	200	added ('OK')	text/css	etag:W/%2255b79c68-7e3e%22	http://html.lionode.com/korslook/css/font-awesome.css	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/css/font-awesome.css	(from http://html.lionode.com/korslook/)
13:52:03	938/938	---MC-	200	added ('OK')	text/css	date:Tue,%2003%20Mar%202020%2006:52:05%20GMT	https://fonts.googleapis.com/css?family=Poppins:300,500,600,700	C:/My%20Web%20Sites/webEcom/fonts.googleapis.com/cssc145.css	(from http://html.lionode.com/korslook/)
13:52:04	1701/1701	---MCZ	200	added ('OK')	text/css	etag:W/%22568e0f1a-6a5%22	http://html.lionode.com/korslook/css/owl.carousel.css	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/css/owl.carousel.css	(from http://html.lionode.com/korslook/)
13:52:04	1725/1725	---M--	200	added ('OK')	image/png	etag:%22598e76f8-6bd%22	http://html.lionode.com/korslook/images/favicon.png	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/favicon.png	(from http://html.lionode.com/korslook/)
13:52:05	43230/43230	---MCZ	200	added ('OK')	text/html	etag:W/%2259d61c08-a3a3%22	http://html.lionode.com/korslook/index.html	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/index-2.html	(from http://html.lionode.com/korslook/)
13:52:06	4952/4952	---M--	200	added ('OK')	image/png	etag:%22598d0e02-1358%22	http://html.lionode.com/korslook/images/logo.png	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/logo.png	(from http://html.lionode.com/korslook/)
13:52:07	27869/27869	---MCZ	200	added ('OK')	text/html	etag:W/%2259d61c08-67a6%22	http://html.lionode.com/korslook/cart.html	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/cart.html	(from http://html.lionode.com/korslook/)
13:52:07	1338/1338	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2253a-5875ce617f476%22	http://html.lionode.com/korslook/product.html	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/product.html	(from http://html.lionode.com/korslook/)
13:52:09	24227/24227	---MCZ	200	added ('OK')	text/html	etag:W/%2259d61c08-596c%22	http://html.lionode.com/korslook/checkout.html	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/checkout.html	(from http://html.lionode.com/korslook/)
13:52:10	44049/44049	---MCZ	200	added ('OK')	text/html	etag:W/%2259d61c08-a6de%22	http://html.lionode.com/korslook/grid-view.html	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/grid-view.html	(from http://html.lionode.com/korslook/)
13:52:11	43041/43041	---MCZ	200	added ('OK')	text/html	etag:W/%2259d61c08-a2d0%22	http://html.lionode.com/korslook/checkout-step1.html	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/checkout-step1.html	(from http://html.lionode.com/korslook/)
13:52:11	31828/31828	---MCZ	200	added ('OK')	text/html	etag:W/%2259d61c08-7713%22	http://html.lionode.com/korslook/checkout-step2.html	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/checkout-step2.html	(from http://html.lionode.com/korslook/)
